"","text","linenumber","chapter"
"1","It is a truth universally acknowledged, that a single man in possession",1,1
"2","of a good fortune, must be in want of a wife.",2,1
"3","However little known the feelings or views of such a man may be on his",3,1
"4","first entering a neighbourhood, this truth is so well fixed in the minds",4,1
"5","of the surrounding families, that he is considered as the rightful",5,1
"6","property of some one or other of their daughters.",6,1
"7","""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that",7,1
"8","Netherfield Park is let at last?""",8,1
"9","Mr. Bennet replied that he had not.",9,1
"10","""But it is,"" returned she; ""for Mrs. Long has just been here, and she",10,1
"11","told me all about it.""",11,1
"12","Mr. Bennet made no answer.",12,1
"13","""Do not you want to know who has taken it?"" cried his wife impatiently.",13,1
"14","""_You_ want to tell me, and I have no objection to hearing it.""",14,1
"15","This was invitation enough.",15,1
"16","""Why, my dear, you must know, Mrs. Long says that Netherfield is taken",16,1
"17","by a young man of large fortune from the north of England; that he came",17,1
"18","down on Monday in a chaise and four to see the place, and was so much",18,1
"19","delighted with it that he agreed with Mr. Morris immediately; that he is",19,1
"20","to take possession before Michaelmas, and some of his servants are to be",20,1
"21","in the house by the end of next week.""",21,1
"22","""What is his name?""",22,1
"23","""Bingley.""",23,1
"24","""Is he married or single?""",24,1
"25","""Oh! single, my dear, to be sure! A single man of large fortune; four",25,1
"26","or five thousand a year. What a fine thing for our girls!""",26,1
"27","""How so? how can it affect them?""",27,1
"28","""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You",28,1
"29","must know that I am thinking of his marrying one of them.""",29,1
"30","""Is that his design in settling here?""",30,1
"31","""Design! nonsense, how can you talk so! But it is very likely that he",31,1
"32","_may_ fall in love with one of them, and therefore you must visit him as",32,1
"33","soon as he comes.""",33,1
"34","""I see no occasion for that. You and the girls may go, or you may send",34,1
"35","them by themselves, which perhaps will be still better, for as you are",35,1
"36","as handsome as any of them, Mr. Bingley might like you the best of the",36,1
"37","party.""",37,1
"38","""My dear, you flatter me. I certainly _have_ had my share of beauty, but",38,1
"39","I do not pretend to be any thing extraordinary now. When a woman has",39,1
"40","five grown up daughters, she ought to give over thinking of her own",40,1
"41","beauty.""",41,1
"42","""In such cases, a woman has not often much beauty to think of.""",42,1
"43","""But, my dear, you must indeed go and see Mr. Bingley when he comes into",43,1
"44","the neighbourhood.""",44,1
"45","""It is more than I engage for, I assure you.""",45,1
"46","""But consider your daughters. Only think what an establishment it would",46,1
"47","be for one of them. Sir William and Lady Lucas are determined to go,",47,1
"48","merely on that account, for in general you know they visit no new",48,1
