Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID,total_relationship_count,unique_relationship_types
daughters,Bennet,Kitty,Q0003,Q0007,2,2
wife,Bennet,Lydia,Q0003,Q0008,11,7
friends,Elizabeth,Bennet,Q0001,Q0003,24,9
mother,Jane,Elizabeth,Q0005,Q0001,23,8
sister,Elizabeth,Jane,Q0001,Q0005,23,8
husband,Elizabeth,Jane,Q0001,Q0005,23,8
sister,Darcy,Mary,Q0002,Q0006,2,2
daughter,Bennet,Jane,Q0003,Q0005,8,5
mother,Elizabeth,Jane,Q0001,Q0005,23,8
brother,Elizabeth,Darcy,Q0001,Q0002,34,9
brother,Elizabeth,Jane,Q0001,Q0005,23,8
sister,Darcy,Elizabeth,Q0002,Q0001,34,9
mother,Elizabeth,Darcy,Q0001,Q0002,34,9
sister,Elizabeth,Darcy,Q0001,Q0002,34,9
mother,Elizabeth,Bennet,Q0001,Q0003,24,9
daughters,Bennet,Elizabeth,Q0003,Q0001,24,9
friend,Bennet,Darcy,Q0003,Q0002,6,6
mother,Darcy,Elizabeth,Q0002,Q0001,34,9
brother,Darcy,Bennet,Q0002,Q0003,6,6
brother,Darcy,Caroline,Q0002,Q0010,3,1
mother,Jane,Bennet,Q0005,Q0003,8,5
mother,Lydia,Collins,Q0008,Q0012,1,1
daughter,Lady Catherine,Bennet,Q0013,Q0003,1,1
daughters,Bennet,Lydia,Q0003,Q0008,11,7
father,Collins,"Catherine de
Bourgh",Q0012,Q0013,4,3
daughters,Jane,Collins,Q0005,Q0012,3,3
sister,Jane,Collins,Q0005,Q0012,3,3
father,Darcy,Bennet,Q0002,Q0003,6,6
father,Darcy,Elizabeth,Q0002,Q0001,34,9
brother,Elizabeth,Bennet,Q0001,Q0003,24,9
friends,Jane,Elizabeth,Q0005,Q0001,23,8
mother,Collins,Elizabeth,Q0012,Q0001,13,7
son,Elizabeth,Darcy,Q0001,Q0002,34,9
mother,Darcy,Bennet,Q0002,Q0003,6,6
father,Darcy,Mary,Q0002,Q0006,2,2
father,Elizabeth,Collins,Q0001,Q0012,13,7
wife,Bennet,Collins,Q0003,Q0012,4,2
daughter,Bennet,Collins,Q0003,Q0012,4,2
mother,Elizabeth,Collins,Q0001,Q0012,13,7
father,Catherine de Bourgh,Collins,Q0013,Q0012,4,3
friend,Elizabeth,Lady Catherine,Q0001,Q0013,5,2
wife,Collins,Bennet,Q0012,Q0003,4,2
daughter,"Collins!""--",Bennet,Q0012,Q0003,4,2
brother,Caroline,Charles,Q0010,Q0009,1,1
sister,Caroline,Elizabeth,Q0010,Q0001,1,1
sister,Caroline,Jane,Q0010,Q0005,2,1
friend,Charlotte,Elizabeth,Q0017,Q0001,1,1
friend,Collins,Elizabeth,Q0012,Q0001,13,7
mother,Elizabeth,William,Q0001,Q0012,13,7
friend,Jane,Darcy,Q0005,Q0002,6,3
